,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
0,Aberavon,Wales,W07000049,LAB HOLD,"10,490","50,747",62.3%,-4.4
1,Aberconwy,Wales,W07000058,CON HOLD,"2,034","44,699",71.3%,+0.2
2,Aberdeen North,Scotland,S14000001,SNP HOLD,"12,670","62,489",59.9%,+0.7
3,Aberdeen South,Scotland,S14000002,SNP GAIN FROM CON,"3,990","65,719",69.4%,+1.0
4,Aberdeenshire West & Kincardine,Scotland,S14000058,CON HOLD,843,"72,640",73.4%,+2.2
5,Airdrie & Shotts,Scotland,S14000003,SNP HOLD,"5,201","64,008",62.1%,+2.9
6,Aldershot,England,E14000530,CON HOLD,"16,698","72,617",66.0%,+1.8
7,Aldridge-Brownhills,England,E14000531,CON HOLD,"19,836","60,138",65.4%,-1.2
8,Altrincham & Sale West,England,E14000532,CON HOLD,"6,139","73,096",74.9%,+2.8
9,Alyn & Deeside,Wales,W07000043,LAB HOLD,213,"62,783",68.5%,-2.5
10,Amber Valley,England,E14000533,CON HOLD,"16,886","69,976",65.1%,-2.2
11,Angus,Scotland,S14000004,SNP GAIN FROM CON,"3,795","63,952",67.5%,+4.5
12,Arfon,Wales,W07000057,PC HOLD,"2,781","42,215",68.9%,+0.7
13,Argyll & Bute,Scotland,S14000005,SNP HOLD,"4,110","66,525",72.2%,+0.7
14,Arundel & South Downs,England,E14000534,CON HOLD,"22,521","81,726",75.1%,-0.7
15,Ashfield,England,E14000535,CON GAIN FROM LAB,"5,733","78,204",62.6%,-1.4
16,Ashford,England,E14000536,CON HOLD,"24,029","89,550",67.1%,-1.5
17,Ashton-under-Lyne,England,E14000537,LAB HOLD,"4,263","68,497",56.3%,-4.2
18,Aylesbury,England,E14000538,CON HOLD,"17,373","86,665",69.9%,-1.3
19,"Ayr, Carrick & Cumnock",Scotland,S14000006,SNP GAIN FROM CON,"2,329","71,970",64.7%,-0.1
20,Ayrshire Central,Scotland,S14000010,SNP HOLD,"5,304","69,742",66.7%,+1.4
21,Ayrshire North & Arran,Scotland,S14000048,SNP HOLD,"8,521","73,534",65.5%,+0.7
22,Banbury,England,E14000539,CON HOLD,"16,813","90,113",69.8%,-3.6
23,Banff & Buchan,Scotland,S14000007,CON HOLD,"4,118","66,655",63.4%,+1.8
24,Barking,England,E14000540,LAB HOLD,"15,427","77,946",57.1%,-4.8
25,Barnsley Central,England,E14000541,LAB HOLD,"3,571","65,277",56.5%,-4.3
26,Barnsley East,England,E14000542,LAB HOLD,"3,217","69,504",54.8%,-4.1
27,Barrow & Furness,England,E14000543,CON GAIN FROM LAB,"5,789","70,158",65.6%,-2.9
28,Basildon & Billericay,England,E14000544,CON HOLD,"20,412","69,906",63.1%,-1.8
29,Basildon South & Thurrock East,England,E14000933,CON HOLD,"19,922","74,441",60.8%,-3.2
30,Basingstoke,England,E14000545,CON HOLD,"14,198","82,926",66.0%,-2.4
31,Bassetlaw,England,E14000546,CON GAIN FROM LAB,"14,013","80,035",63.5%,-3.0
32,Bath,England,E14000547,LD HOLD,"12,322","67,725",77.0%,+2.7
33,Batley & Spen,England,E14000548,LAB HOLD,"3,525","79,558",66.5%,-0.6
34,Battersea,England,E14000549,LAB HOLD,"5,668","79,309",75.6%,+4.6
35,Beaconsfield,England,E14000550,CON HOLD,"15,712","77,720",74.5%,+2.2
36,Beckenham,England,E14000551,CON HOLD,"14,258","68,671",73.6%,-2.4
37,Bedford,England,E14000552,LAB HOLD,145,"71,579",66.1%,-1.4
38,Bedfordshire Mid,England,E14000813,CON HOLD,"24,664","87,795",73.7%,-1.3
39,Bedfordshire North East,England,E14000841,CON HOLD,"24,283","90,679",71.7%,-1.7
40,Bedfordshire South West,England,E14000949,CON HOLD,"18,583","79,926",66.7%,-3.1
41,Belfast East,Northern Ireland,N06000001,DUP HOLD,"1,819","66,245",64.1%,-3.5
42,Belfast North,Northern Ireland,N06000002,SF GAIN FROM DUP,"1,943","72,225",67.9%,+0.6
43,Belfast South,Northern Ireland,N06000003,SDLP GAIN FROM DUP,"15,401","69,984",67.7%,+1.5
44,Belfast West,Northern Ireland,N06000004,SF HOLD,"14,672","65,644",59.1%,-6.0
45,Bermondsey & Old Southwark,England,E14000553,LAB HOLD,"16,126","93,313",62.8%,-4.2
46,Berwick-upon-Tweed,England,E14000554,CON HOLD,"14,835","59,939",70.3%,-1.5
47,"Berwickshire, Roxburgh & Selkirk",Scotland,S14000008,CON HOLD,"5,148","74,518",71.3%,-0.2
48,Bethnal Green & Bow,England,E14000555,LAB HOLD,"37,524","88,169",68.7%,-0.8
49,Beverley & Holderness,England,E14000556,CON HOLD,"20,448","79,683",67.2%,-1.8
50,Bexhill & Battle,England,E14000557,CON HOLD,"26,059","81,968",72.1%,-1.0
51,Bexleyheath & Crayford,England,E14000558,CON HOLD,"13,103","65,466",66.1%,-3.1
52,Birkenhead,England,E14000559,LAB HOLD,"17,705","63,762",66.4%,-1.3
53,Birmingham Edgbaston,England,E14000560,LAB HOLD,"5,614","68,828",61.5%,-2.6
54,Birmingham Erdington,England,E14000561,LAB HOLD,"3,601","66,148",53.3%,-3.9
55,Birmingham Hall Green,England,E14000562,LAB HOLD,"28,508","80,283",65.9%,-3.5
56,Birmingham Hodge Hill,England,E14000563,LAB HOLD,"28,655","78,295",57.5%,-3.8
57,Birmingham Ladywood,England,E14000564,LAB HOLD,"28,582","74,912",56.2%,-2.8
58,Birmingham Northfield,England,E14000565,CON GAIN FROM LAB,"1,640","73,694",58.5%,-2.8
